time	V(vout)
Step Information: R=1M  (Run: 1/21)
0.000000000000000e+000	0.000000e+000
9.999999717180685e-010	8.242839e-005
1.999999943436137e-009	1.647275e-004
1.599999954748910e-008	1.278017e-003
3.199999909497819e-008	2.451655e-003
6.399999818995639e-008	4.633863e-003
1.065670358922686e-007	7.474191e-003
1.580955800891947e-007	1.119998e-002
2.148536897004891e-007	1.627585e-002
2.947400492948753e-007	2.598930e-002
3.827082073462637e-007	4.096801e-002
4.714252218531934e-007	6.068164e-002
5.241307665601344e-007	7.425658e-002
5.544416403586575e-007	8.232896e-002
5.865105186517711e-007	9.040087e-002
6.282504842712540e-007	9.986734e-002
6.753561118552685e-007	1.094073e-001
7.127355459304467e-007	1.163104e-001
7.682059896518678e-007	1.259917e-001
8.218827166028900e-007	1.351042e-001
9.024365747451111e-007	1.485668e-001
1.007571873805839e-006	1.660155e-001
1.162702532366154e-006	1.916714e-001
1.428626547346750e-006	2.355814e-001
1.827535897968874e-006	3.014087e-001
2.572215767412391e-006	4.242636e-001
6.857368293555227e-006	1.131141e+000
1.252020488910743e-005	2.065263e+000
2.000000000000000e-005	3.299100e+000
2.028160858395621e-005	3.299104e+000
2.084482575186863e-005	3.299107e+000
4.161938272696908e-005	3.299110e+000
6.559787585792975e-004	3.299111e+000
1.290156178813959e-003	3.299111e+000
2.558511019283282e-003	3.299111e+000
5.095220700221928e-003	3.299112e+000
9.001470700221928e-003	3.299113e+000
1.290772070022193e-002	3.299115e+000
1.681397070022193e-002	3.299116e+000
2.072022070022193e-002	3.299117e+000
2.462647070022193e-002	3.299118e+000
3.243897070022193e-002	3.299120e+000
4.025147070022193e-002	3.299122e+000
4.806397070022193e-002	3.299124e+000
5.978272070022193e-002	3.299126e+000
7.150147070022192e-002	3.299128e+000
8.322022070022192e-002	3.299130e+000
9.884522070022192e-002	3.299132e+000
1.144702207002219e-001	3.299132e+000
1.261889707002219e-001	3.299128e+000
1.300952207002219e-001	3.299121e+000
1.340014707002219e-001	3.299091e+000
1.379077207002219e-001	3.298981e+000
1.383960019502219e-001	3.298893e+000
1.385180722627219e-001	3.298822e+000
1.385485898408469e-001	3.298779e+000
1.386096249970969e-001	3.298637e+000
1.386248837861594e-001	3.298565e+000
1.386554013642844e-001	3.298323e+000
1.386630307588157e-001	3.298198e+000
1.386782895478782e-001	3.297761e+000
1.386821042451438e-001	3.297509e+000
1.386897336396750e-001	3.296625e+000
1.386907272938507e-001	3.296401e+000
1.386927146022019e-001	3.295692e+000
1.386932114292897e-001	3.295429e+000
1.386942050834653e-001	3.294662e+000
1.386949169256442e-001	3.293848e+000
1.386955858810107e-001	3.292671e+000
1.386960043687212e-001	3.291498e+000
1.386964284849296e-001	3.289602e+000
1.386967442324453e-001	3.287306e+000
1.386969992710969e-001	3.284226e+000
1.386972042919374e-001	3.280092e+000
1.386973758035213e-001	3.274256e+000
1.386975234311823e-001	3.265679e+000
1.386976551862559e-001	3.252444e+000
1.386977784247792e-001	3.230813e+000
1.386979029947440e-001	3.192791e+000
1.386980341965518e-001	3.126426e+000
1.386981708583567e-001	3.020417e+000
1.386983710960643e-001	2.814338e+000
1.386985876661231e-001	2.557476e+000
1.386988194314692e-001	2.266479e+000
1.386991549489484e-001	1.839215e+000
1.386998259839069e-001	9.831458e-001
1.386999937426465e-001	7.705368e-001
1.387003292601258e-001	3.501585e-001
1.387004131394956e-001	2.501864e-001
1.387005808982352e-001	7.075250e-002
1.387006333453303e-001	2.919865e-002
1.387006616345063e-001	1.670300e-002
1.387006850561384e-001	1.107173e-002
1.387007016959137e-001	8.650822e-003
1.387007208667647e-001	6.860969e-003
1.387007413316348e-001	5.579461e-003
1.387007684480555e-001	4.460554e-003
1.387007967959495e-001	3.709704e-003
1.387008434142283e-001	2.942498e-003
1.387008861312627e-001	2.510166e-003
1.387009650424674e-001	2.047148e-003
1.387010420200448e-001	1.781497e-003
1.387011893220684e-001	1.506063e-003
1.387013425431024e-001	1.347901e-003
1.387016485423560e-001	1.194629e-003
1.387021059065596e-001	1.085933e-003
1.387030206349669e-001	1.000537e-003
1.387048500917814e-001	9.404088e-004
1.387085090054104e-001	9.049689e-004
1.387158268326685e-001	8.877388e-004
1.387304624871847e-001	8.816362e-004
1.501008962904400e-001	8.782779e-004
1.618196462904400e-001	8.757584e-004
1.735383962904400e-001	8.735154e-004
1.852571462904400e-001	8.715212e-004
1.969758962904400e-001	8.697563e-004
2.086946462904400e-001	8.682589e-004
2.204133962904400e-001	8.674054e-004
2.321321462904400e-001	8.694263e-004
2.399446462904400e-001	8.788543e-004
2.438508962904400e-001	9.047483e-004
2.477571462904400e-001	9.972615e-004
2.482454275404400e-001	1.066345e-003
2.483674978529400e-001	1.113974e-003
2.483980154310650e-001	1.136678e-003
2.484590505873150e-001	1.201146e-003
2.484743093763775e-001	1.224643e-003
2.485048269545025e-001	1.318180e-003
2.485658621107525e-001	1.675183e-003
2.485811208998150e-001	1.869502e-003
2.485849355970806e-001	1.963477e-003
2.485925649916119e-001	2.229251e-003
2.485944723402447e-001	2.325953e-003
2.485982870375103e-001	2.644234e-003
2.486035454863964e-001	3.297348e-003
2.486045330941981e-001	3.511401e-003
2.486065083098014e-001	4.145581e-003
2.486070021137023e-001	4.374096e-003
2.486079897215039e-001	5.049651e-003
2.486089393145790e-001	5.994167e-003
2.486095332269947e-001	6.935847e-003
